大分類,中分類,No.,研修項目,操作手順・内容,備考欄
仮締,-,110,仮締会計(固定式スキャナー) / 仮締会計(レジ本体),【レジ操作】[仮締会計] → [小計] → [転送] → 会計操作 / [仮締会計] → [小計] → 預かり金額 → [預/現金],【仮締会計】で呼び出した後、追加登録・商品取消可能
加算締,-,111,加算締,【レジ操作】商品登録 → [小計] → [加算締],レシートを分けて発行し、まとめて会計する場合に使用する(現金支払い時のみ可能)
加算締,-,112,呼出加算,【レジ操作】[呼出加算] → [小計] → 会計操作,会計のみのレシート発行する場合
加算締,-,113,呼出加算,【レジ操作】[呼出加算] → 商品登録 → [小計] → 会計操作,-
返品,-,114,返品操作前の確認,①レシートと商品が一致しているか確認後、担当者に返品の可否を確認する ②レシートの会計内容を確認し、返品操作を行う,会計内容→支払い手段(現金・金券・キャッシュレス・クレジット) 返金レシート出力後、明細書の発行をし店舗控とする
返品,-,115,返金レシートの明細書,お客様都合の返品・交換の場合は返金レシート明細書の裏にお客様の署名を頂く ※打ちミス・クレームなどの店舗都合の返品・交換の場合は署名は不要 返金レシートの明細書→左側: 返品操作者 / 右側: 返品許可者が押印し、返品操作理由を記入する,一部返品の場合は、返金レシート明細書の返品商品にレ点をする 打ちミスの場合、承認は隣接チェッカーが押印可能 元レシート・返品レシート・再登録レシートはお客様にお渡しする 元の売上レシートの裏に領収証発行済印を押下し返と記入
返品,-,116,全返品,【レジ操作】[返品] → 返品理由タッチ → レシートスキャン → 2 → [金額] → [OK] → 返金レシート出力 → [ページ切替] → [明細書] → 返金レシートスキャン 【レシートスキャンできない場合】レジナンバー3桁+レシートNo.4桁入力 → [金額] → 日付6桁入力 → [金額],元レシート、返金レシートのバーコードをペンで消さないこと レジNo.3桁+レシートNo.4桁・日付6桁を入力
返品,-,117,(全返品続き),【レジ操作】[OK] → 返金レシート出力 → [ページ切替] → [明細書] → 返金レシートスキャン 返品商品タッチ → [画面訂正] → [小計] → 返金レシートの合計金額入力 → [預/金額] → [ページ切替] → [明細書] → 返金レシートスキャン,複数商品を選択して画面訂正はできない 一部返品操作全て追加登録が可能 但し、ハンドスキャナーでスキャンする
返品,-,118,売価違い(一部返品),【レジ操作】[返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK] → 返金レシート出力 → 返品商品タッチ → [画面訂正] → 価格の強制入力 or DPT登録 → [小計] → 返金レシートの合計金額入力 → [預/金額] → [ページ切替] → [明細書] → 返金レシートスキャン,-
返品,-,119,2個のうち1個返品→掛算登録(一部返品),【レジ操作】[返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK] → 返金レシート出力 → [まとめ表示] → 返品商品タッチ → [画面訂正] → 1個分登録 → [まとめ表示] → [小計] → 返金レシートの合計金額入力 → [預/金額] → [ページ切替] → [明細書] → 返金レシートスキャン,掛け算登録している場合は【まとめ表示】をタッチしても表示が切り替わらない
返品,-,120,2個のうち1個返品→個別登録(一部返品),【レジ操作】[返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK] → 返金レシート出力 → [まとめ表示] → 返品商品タッチ → [画面訂正] → [まとめ表示] → [小計] → 返金レシートの合計金額入力 → [預/金額] → [ページ切替] → [明細書] → 返金レシートスキャン,1個ずつ登録している場合は表示が切り替わる 返品する数量を1つずつ【画面訂正】で取消する
返品,-,121,取替 安い→高い商品(一部返品),【レジ操作】[返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK] → 返金レシート出力 → 返品商品タッチ → [画面訂正] → 取替商品登録 → [小計] → 返金レシートの合計金額入力 → [預/金額] → 不足分金額入力 → [預/金額] → [ページ切替] → [明細書] → 返金レシートスキャン,追加登録が可能
返品,-,122,取替 (高い→安い商品)(一部返品),【レジ操作】[返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK] → 返金レシート出力 → 返品商品タッチ → [画面訂正] → 取替商品登録 → [小計] → 返金レシートの合計金額入力 → [預/金額] → [預/金額] → [ページ切替] → [明細書] → 返金レシートスキャン,追加登録が可能
返品,-,123,税率の打ち直し 8%→10%・10%→8%(一部返品),【レジ操作】[返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK] → 返金レシート出力 → 返品商品タッチ → [画面訂正] → [税率変更] → [軽減税率8%]or[標準税率10%] → [はい] → 商品登録 → [小計] → 返金レシートの合計金額入力 → [預/金額] → [ページ切替] → [明細書] → 返金レシートスキャン,-
返品,-,124,レシート代用伝票,No.126の返品操作を行う場合は、レシート代用伝票を準備してから返品操作を行う 返品に使用するレシート代用伝票はスタッフが管理しているものを使用する,使用後にレシート代用伝票使用報告書を記入する
返品,-,125,期限切れレシートの返品(1ヶ月以上前) ※99返品,【レジ操作】[返品] → 返品理由タッチ → [金額] → 返品商品登録 → [小計] → 返品合計金額 → [預/現金] → 返金レシート出力 → [ページ切替] → [明細書] → 返金レシートスキャン,明細書の裏に元レシートのレジNo.・レシートNo.・日付を記入する
返品,-,126,併用レシート返品(現金・金券・カード・PayPay) ※99返品,【レジ操作】[返品] → 返品理由タッチ → [金額] → 返品商品登録 → [小計] → 返品合計金額 → [預/現金] → 返金レシート出力 → [ページ切替] → [明細書] → 返金レシートスキャン,明細書の裏に元レシートのレジNo.・レシートNo.・日付を記入する
返品,-,127,レシートなし返品 ※99返品,【レジ操作】[返品] → 返品理由タッチ → [金額] → 返品商品登録 → [小計] → 返品合計金額 → [預/現金] → 返金レシート出力 → [ページ切替] → [明細書] → 返金レシートスキャン,販売実績等を調べてから返品を行う レシート代用伝票を使用する ※レシート代用伝票使用報告書を記入
カード返品,-,128,カード返品操作前の確認,①レシートと商品が一致しているか確認後、担当者に返品の可否を確認する ②レシートの会計内容を確認する ③返品に使用するクレジットカードとJ-Mupsお客様控に記載されているカード番号の下4桁が一致しているか確認する ④カード返品操作を行う 【注意点】①締日を過ぎてからカード返品操作を行う場合は、翌月の支払額から返品金額が差し引かれる ②デビットカード等で返品を行う場合は、反映までに数日かかることがある ③お買上日に会計したレジで返品する場合は、商品コード・支払方法の入力は不要 ④金券・現金を併用している場合は、99返品を行い現金でお返しする,お客様にレジレシート・J-Mupsお客様控・クレジットカードを持参して頂く カードの種類・返品理由に関わらず、カード会社控にはサイン必須 ※レシート出力順: J-Mupsレシート3枚→レジ本体レシート
J-Mups端末操作(返品),磁気カード,129,全返品,【レジ操作】[カード返品] → 返品理由タッチ → レシートスキャン → 2 → [金額] → [OK]【J-Mups端末操作】カードスリット → 伝票番号(J伝票No.) → [次へ] → 商品コード → [次へ] → 支払方法 → [確認] → レシート出力【レジ操作】返金レシート出力 → [ページ切替] → [明細書] → 返金レシートスキャン,レシートの金額と表示金額が一致しているか確認 (商品コード→商品区分/支払方法→支払区分)
J-Mups端末操作(返品),磁気カード,130,一部返品,【レジ操作】[カード返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK]【J-Mups端末操作】カードスリット → 伝票番号(J伝票No.) → [次へ] → 商品コード → [次へ] → 支払方法 → [確認] → レシート出力【レジ操作】返品商品タッチ → [画面訂正] → [小計] → 会計操作 → [明細書] → 返金レシートスキャン,お客様が希望する会計方法で再度会計する キーボードの【指定取消】は使用不可
J-Mups端末操作(返品),磁気カード,131,取替・売価違い(一部返品),【レジ操作】[カード返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK]【J-Mups端末操作】カードスリット → 伝票番号(J伝票No.) → [次へ] → 商品コード → [次へ] → 支払方法 → [確認] → レシート出力【レジ操作】返品商品タッチ → [画面訂正] → 取替商品スキャン or 価格強制入力 or DPT登録 → [小計] → 会計操作 → [ページ切替] → [明細書] → 返金レシートスキャン,-
J-Mups端末操作(返品),ICカード,132,全返品,【レジ操作】[カード返品] → 返品理由タッチ → レシートスキャン → 2 → [金額] → [OK]【J-Mups端末操作】ICカード挿入 → 伝票番号(J伝票No.) → [次へ] → 商品コード → [次へ] → 支払方法 → [確認] → レシート出力【レジ操作】返金レシート出力 → [ページ切替] → [明細書] → 返金レシートスキャン,レシートの金額と表示金額が一致しているか確認 (商品コード→商品区分/支払方法→支払区分)
J-Mups端末操作(返品),ICカード,133,一部返品,【レジ操作】[カード返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK] → [ページ切替] → [明細書] → 返金レシートスキャン【J-Mups端末操作】ICカード挿入 → 伝票番号(J伝票No.) → [次へ] → 商品コード → [次へ] → 支払方法 → [確認] → レシート出力【レジ操作】返品商品タッチ → [画面訂正] → [小計] → 会計操作 → [明細書] → 返金レシートスキャン,お客様が希望する会計方法で再度会計する (クレジットカード・現金・PayPay) キーボードの【指定取消】は使用できない
J-Mups端末操作(返品),ICカード,134,取替・売価違い(一部返品),【レジ操作】[カード返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK]【J-Mups端末操作】カードスリット → 伝票番号(J伝票No.) → [次へ] → 商品コード → [次へ] → 支払方法 → [確認] → レシート出力【レジ操作】返品商品タッチ → [画面訂正] → 取替商品スキャン or 価格強制入力 or DPT登録 → [小計] → 会計操作 → [ページ切替] → [明細書] → 返金レシートスキャン,お客様が希望する会計方法で再度会計する (クレジットカード・現金・PayPay他)
PayPay返品,-,135,PayPay返品前の確認,①レシートと商品が一致しているか確認後、担当者に返品の可否を確認する ②レシートの会計内容を確認する ③お客様にアプリで決済番号を確認して頂く ④ダッシュボードで返金操作を行う ⑤レジで返品操作を行う,-
PayPay返品,-,136,ダッシュボード操作,【タブレット・PC操作】サイトを開く → [取引] → 決済を探す → 決済番号・返金額が一致しているか確認 → [返金する] → 【返金完了しました】の表示確認後、お客様の取引履歴で返金されたことを確認して頂く,タブレット・PCで操作する 全額返金のみ可能
PayPay返品,-,137,レジ操作(全返品),【レジ操作】[カード返品] → 返品理由タッチ → レシートスキャン → 2 → [金額] → [OK] → [ページ切替] → [明細書] → 返金レシートスキャン,-
PayPay返品,-,138,レジ操作(一部返品),【レジ操作】[カード返品] → 返品理由タッチ → レシートスキャン → 1 → [金額] → [OK] → 返品商品タッチ → [画面訂正] → [小計] → 会計操作 → [ページ切替] → [明細書] → 返金レシートスキャン,お客様が希望する会計方法で再度会計する
伝票,-,139,マイナス登録処理伝票,現金/カード・PayPayに分けて伝票作成する,資料: 返金レシート・マイナス登録処理伝票参照
